D10003FC	CCSS	English	{K,1,2,3,4,5,6,7,8,9,10,11,12}	English Language Arts & Literacy
D10003FB	CCSS	Math	{K,1,2,3,4,5,6,7,8,9,10,11,12}	Mathematics
D2594344	NJ	The Arts	{P,K,1,2,3,4,5,6,7,8,9,10,11,12}	Visual and Performing Arts
D2594343	NJ	Health	{P,K,1,2,3,4,5,6,7,8,9,10,11,12}	Health and Physical Education
D2594345	NJ	Social Studies	{P,K,1,2,3,4,5,6,7,8,9,10,11,12}	Social Studies
D2602363	NJ	Technology	{P,K,1,2,3,4,5,6,7,8,9,10,11,12}	Technology
D2603532	NJ	Foreign Language	{3,4,5,6,7,8,9,10,11,12}	World Languages
D2363748	MI	The Arts	{K,1,2,3,4,5,6,7,8,9,10,11,12}	Visual Arts, Music, Dance & Theater
D1000361	MI	Science	{9,10,11,12}	Biology (HS)
D1000362	MI	Science	{9,10,11,12}	Chemistry (HS)
D1000363	MI	Science	{9,10,11,12}	Earth Science (HS)
D1000394	MI	Health	{9,10,11,12}	Credit Guidelines for Health Education
D1000280	MI	Science	{9,10,11,12}	(HS) Science Essential
D10003D5	MI	Physical Education	{K,1,2,3,4,5,6,7,8,9,10,11,12}	Physical Education
D1000332	MI	Science	{K,1,2,3,4,5,6,7}	Science (K-7)
D10002CE	MI	Social Studies	{K,1,2,3,4,5,6,7,8}	Social Studies (K-8)
D2596842	MI	Social Studies	{9,10,11,12}	Social Studies (HS)
D2587643	MI	Technology	{P,K,1,2,3,4,5,6,7,8,9,10,11,12}	Educational Technology for Students (METS-S)
D1000395	MI	Foreign Language	{K,1,2,3,4,5,6,7,8,9,10,11,12}	World Language
D2454348	NGSS	Science	{K,1,2,3,4,5,6,7,8,9,10,11,12}	Next Generation Science